RNG Hexa,RNG Index,Frame 1,Frame 2,Frame 3,Frame 4,Frame 5,Frame 6,Frame 7,Frame 8,Frame 9,Frame 10
00000001,000,M2 (Snake3) C6 (Q5) F9 (Elastoid4) T1 (Jelleye8) G7,(Malboro7) F6 (Q5) M9 (Snake4) T8 (Mask3) G2 (Mantis1),(Biggs7) F3 (Q6) T5 (Elnoyle8) M9 (Jelleye2) C4 (Snake1),XX,XX,XX,(Q7) M4 (Robot1) G5 (Mantis8) C9 (Glacial6) T2 (Grat3),XX,(Q4) F5 (Biggs6) M8 (Jelleye9) T7 (Grendel1) G2 (Buel3),XX
00000000,999,Q2 () Q6 () Q9 () Q1 () Q7,(Q7) Q6 (Q5) Q9 (Q4) Q8 (Q3) Q2 (Q1),(Q7) Q3 (Q6) Q5 (Q8) Q9 (Q2) Q4 (Q1),XX,XX,XX,XX,XX,XX,XX
d5343fb9,200,B1 (Beast2) F4 (Jelleye5) T7 (Q6) C3 (Chimera8) I9,(Q4) F3 (Beast6) B9 (Robot8) T7 (Chimera5) I2 (Creeps1),(Jelleye9) B1 (Robot4) I7 (Unicorn2) F5 (Buel6) T8 (Q3),(Elnoyle9) F5 (Chimera8) B6 (Q2) I3 (Ruby4) T7 (Buel1),(Biggs9) F1 (Glacial2) B4 (Q5) T7 (Grat6) C3 (Mask8),(Elnoyle9) F1 (Q2) B4 (Beast5) T7 (Grendel6) I8 (Mask3),B1 (Glacial2) F4 (Elastoid5) T7 (Buel6) I3 (Q9) C8,(Elastoid9) F5 (Q2) T1 (King4) I7 (Malboro6) C8 (Snake3),(Elnoyle9) C2 (Malboro1) B4 (Q5) T7 (Grendel6) F3 (Glacial8),F1 (Giant4) B2 (Grat5) I7 (Creeps6) C3 (King8) T9
a1cc6c26,201,B3 (Grendel2) F6 (Q5) I9 (Snake4) T1 (Chimera7) C8,B1 (Mask4) F2 (Unicorn5) C3 (Robot6) T7 (Q8) I9,T3 (Beast6) B9 (Q8) C2 (Robot1) F5 (Elastoid7) I4,F1 (Malboro4) B2 (Robot5) C3 (Elnoyle6) T7 (Q9) I8,F6 (King3) T2 (Biggs5) B9 (Q8) I7 (Jelleye1) C4,F3 (Beast2) C6 (Q5) B9 (Elastoid7) I4 (Ruby1) T8,B1 (Mask2) F4 (Creeps5) T7 (Q6) C3 (Bird8) I9,T3 (Elastoid6) C2 (Q1) B5 (Elnoyle4) F8 (Jelleye9) I7,(Biggs9) F6 (Q5) T4 (Chimera7) I8 (Jelleye3) C1 (Grat2),F1 (Q4) B2 (Mask5) C3 (Bird6) T7 (Mantis8) I9
5e56886f,202,B3 (Robot2) C6 (Q5) F9 (Grat7) T8 (Mantis4) I1,(Elastoid9) C1 (Mask2) B4 (Q5) T7 (Buel8) I6 (Creeps3),(Elnoyle9) C1 (Ruby2) B4 (Glacial5) T7 (Mantis6) F8 (Q3),(Elnoyle9) C6 (Q5) T4 (Snake7) B8 (Robot3) I2 (Giant1),(Elastoid9) F1 (Jelleye4) T7 (Grat6) B2 (Grendel5) C3 (Q8),(Elnoyle9) C2 (Biggs3) I6 (Q1) F5 (Robot4) B8 (Grat7),(Q7) F1 (Grat4) B2 (Mantis5) C3 (King8) I9 (Grendel6),(Q4) T7 (Robot8) B9 (Giant5) I6 (Malboro1) C3 (Glacial2),(Elnoyle9) B1 (Beast2) F4 (Q5) T7 (Buel6) I3 (Creeps8),(Biggs9) F1 (Mantis2) B4 (Q5) T7 (Snake6) C3 (Unicorn8)
78a7e3e4,203,(Biggs9) C1 (Q4) F2 (Beast5) I8 (Glacial3) B6 (Grendel7),(Mantis9) F1 (Q2) B4 (Ruby5) T7 (Grat8) C6 (Bird3),(Giant9) F1 (Q2) B4 (Unicorn5) T7 (Ruby8) I6 (Mask3),(Elnoyle9) F3 (Q6) T5 (Biggs8) I2 (Creeps4) B7 (Beast1),F3 (Biggs6) T2 (Beast5) I9 (Q8) C1 (Glacial7) B4,(Elastoid9) F1 (Elnoyle2) B4 (Q5) T7 (Grendel6) I3 (Chimera8),(Mask7) C4 (Ruby5) F6 (Glacial9) T8 (Q2) I1 (Malboro3),(Biggs9) B1 (Q4) F2 (Elnoyle5) C3 (King6) I8 (Mask7),(Robot6) F1 (Q2) B4 (Giant5) T7 (Glacial3) I8 (Bird9),(Bird9) F1 (King2) B4 (Q5) T7 (Snake6) I8 (Chimera3)
08e81195,204,F1 (Robot4) B2 (Buel5) T7 (Unicorn6) C3 (Giant9) I8,C1 (Chimera2) B4 (Q5) T7 (Mask9) F8 (King6) I3,(Beast8) F1 (Q2) B4 (Glacial5) T7 (Creeps9) C6 (Buel3),(Bird7) F1 (Q4) C2 (Snake8) B9 (Grat5) I6 (Jelleye3),F1 (Elastoid2) T4 (Jelleye5) I7 (Creeps9) B8 (Q3) C6,(Bird8) F1 (Q4) B2 (Ruby5) I7 (Grat9) C6 (Buel3),(Robot7) C1 (Q4) F2 (Buel5) I8 (Mask6) B3 (Malboro9),F1 (Q4) B2 (Elnoyle5) C3 (Unicorn6) T7 (Ruby9) I8,(Elnoyle9) C1 (Biggs4) T7 (Q2) B8 (Giant6) I5 (Unicorn3),(Elastoid9) C1 (Chimera2) F4 (Glacial5) I7 (Q6) B8 (Elnoyle3)
fc4fa552,205,C1 (Ruby4) F2 (Q5) B3 (Biggs6) I7 (Chimera9) T8,(Q4) F1 (Robot5) T2 (Jelleye3) C6 (Snake9) I8 (Bird7),C1 (Jelleye2) B4 (Q5) F3 (Biggs6) T7 (Glacial9) I8,F1 (Elastoid2) B4 (Q5) T7 (Grat8) I9 (Robot3) C6,C1 (Mask2) B4 (Bird5) T7 (Grat6) F3 (Q8) I9,B1 (Q2) F4 (Robot5) T7 (Malboro8) I9 (Grendel3) C6,F1 (Buel2) B4 (Creeps5) T7 (Grat8) C6 (Q9) I3,F1 (Q4) B2 (Malboro5) C3 (Mantis6) T7 (Mask9) I8,C1 (Q4) F2 (Beast5) B3 (Elnoyle6) T7 (Buel8) I9,(Q3) T2 (Beast5) B8 (Jelleye9) C6 (King7) F4 (Malboro1)
bc7e8cab,206,F1 (Elnoyle2) B4 (Buel5) T7 (Q6) C3 (Grat8) I9,C1 (Beast2) B4 (Q5) T7 (Grendel6) F3 (Glacial9) I8,B2 (Snake3) F6 (Q5) I9 (Chimera4) T1 (Jelleye8) C7,(Biggs9) F1 (Buel4) B2 (Elnoyle5) T7 (Ruby6) C3 (Q8),(Q7) B1 (Giant2) T4 (Mantis3) I8 (Ruby9) C5 (Grat6),F1 (Chimera2) B4 (Giant5) T7 (Q6) C3 (Ruby8) I9,F3 (Chimera2) B6 (Q5) I9 (Biggs7) C8 (Robot4) T1,(Biggs9) C6 (Q5) T4 (Ruby7) F8 (Unicorn3) I2 (Glacial1),F1 (Elnoyle2) B4 (Elastoid5) T7 (King6) C3 (Q9) I8,(Giant9) C1 (Q4) F2 (Glacial3) B5 (Jelleye6) I8 (Beast7)
eb2653f0,207,C1 (Ruby4) F2 (Beast5) B3 (Mantis6) T7 (Q8) I9,B3 (Q6) T5 (Jelleye8) F9 (Robot4) C2 (Elastoid7) I1,F1 (Ruby2) B4 (Mask5) C3 (Elastoid6) T7 (Q8) I9,F1 (Mantis2) B4 (Giant5) C7 (Q3) T8 (Malboro9) I6,C3 (Mask2) B6 (Q5) F9 (Elastoid7) I4 (Jelleye1) T8,F1 (Creeps2) B4 (Mantis5) T7 (Q6) I3 (Grendel9) C8,(Elnoyle9) F2 (Q1) T6 (Giant5) C3 (Robot4) I8 (Grat7),F3 (Mantis6) T2 (Mask5) C1 (Robot4) B9 (Jelleye8) I7,B3 (Elnoyle2) F6 (Q5) T4 (Robot7) C1 (Ruby8) I9,(Biggs9) F1 (Q2) B4 (Malboro7) I8 (Creeps3) C5 (Grat6)
93e46731,208,(Elnoyle9) C1 (Ruby4) F2 (Unicorn5) I7 (Q3) B8 (Malboro6),(Biggs9) C1 (Elnoyle2) F4 (Grendel5) T7 (Q6) B8 (Giant3),(Elnoyle9) C1 (Chimera2) B4 (Glacial5) T7 (Unicorn6) F8 (Q3),(Biggs9) C1 (Elnoyle2) B4 (Robot5) T7 (Q8) I6 (Bird3),(Q3) T1 (Jelleye2) F4 (Ruby5) I7 (Glacial9) C6 (Mantis8),XX,XX,XX,XX,XX
6e551f3e,209,B1 (Bird2) F4 (Q5) T7 (Elastoid8) C9 (Glacial6) I3,F1 (Bird4) B2 (Q5) T7 (Ruby9) I8 (Robot3) C6,F1 (Q4) B2 (Malboro5) T7 (Grat6) C3 (Giant8) I9,C3 (Grendel2) F6 (Malboro5) T1 (Elastoid4) B8 (Q7) I9,F1 (Elnoyle2) T4 (Beast5) C7 (Q8) B9 (Creeps6) I3,B1 (Q2) F4 (Elastoid5) C6 (Grat9) I3 (Malboro8) T7,F1 (Q4) B2 (Beast5) T7 (Malboro6) C3 (Mantis9) I8,F1 (Q4) B2 (King5) T7 (Snake8) C3 (Creeps6) I9,C1 (Giant2) B4 (Beast5) T7 (Mantis6) F3 (Grat9) I8,B1 (Beast2) F4 (Creeps5) T7 (Malboro8) C6 (Q9) I3
cbfe2aa7,210,F3 (Q6) T2 (Beast5) B8 (Glacial9) I7 (Buel1) C4,F1 (Q4) B2 (Ruby5) T7 (Grat6) C3 (Robot9) I8,(Q7) F1 (Robot4) C2 (Jelleye3) I8 (Glacial6) B5 (Unicorn9),(Elnoyle9) F1 (Q2) B4 (Bird7) I8 (Snake5) C6 (Buel3),(Malboro7) F2 (Creeps3) B6 (Q5) T4 (Unicorn1) C9 (Bird8),(Elnoyle9) F4 (Mantis5) I8 (Q2) T1 (Jelleye3) C6 (Grendel7),(Beast9) F1 (Q4) B2 (Grendel5) C6 (Buel3) I8 (Glacial7),(Elnoyle9) T2 (Elastoid3) I6 (Q5) C1 (King7) B8 (Mask4),(Elnoyle9) F1 (Glacial2) B4 (Q5) I6 (Snake7) C8 (Jelleye3),F3 (Giant2) B6 (Grendel5) T4 (Grat7) C1 (Q8) I9
6d59a2bc,211,(Malboro7) C1 (Q4) F2 (Beast3) B6 (Grendel5) I8 (Mask9),(Elnoyle9) C1 (Robot2) B4 (Q5) T7 (Buel6) I3 (Creeps8),(Giant9) C1 (Unicorn4) F2 (Q5) I7 (Malboro3) B6 (Mask8),(Q4) F1 (Ruby2) C3 (Chimera6) I5 (Creeps8) T7 (Grendel9),F1 (Elastoid2) B4 (Beast5) T7 (Q6) C9 (Ruby8) I3,(Elnoyle9) C2 (Beast1) B4 (Q5) I6 (Jelleye3) T7 (Ruby8),(Elnoyle9) B1 (Q2) F4 (Ruby5) C6 (Glacial7) I8 (Jelleye3),(Elnoyle9) B2 (Q1) I6 (Biggs4) T7 (Chimera5) F3 (Buel8),(Elnoyle9) C1 (Q4) F2 (Bird5) B8 (Glacial6) I3 (Grat7),F1 (Bird4) B2 (Beast5) T7 (Creeps6) I8 (Q3) C9
c0c6dc8d,212,F3 (Elastoid6) I9 (Q7) T2 (Snake5) B8 (Mask1) C4,F1 (Q4) B2 (Biggs5) C3 (Creeps6) T7 (Giant9) I8,C5 (Elastoid2) F3 (Bird6) I9 (Q4) B8 (Ruby7) T1,C1 (Creeps4) F2 (Buel5) B3 (Biggs6) T7 (Malboro8) I9,(Biggs9) F1 (Bird2) B4 (Q5) T7 (King6) I3 (Glacial8),(Giant1) F3 (Q2) B6 (Jelleye9) T5 (Snake7) C8 (Glacial4),F3 (Q6) T5 (Grendel4) C2 (Snake7) I8 (Unicorn9) B1,(Giant7) F1 (Q4) B2 (Mantis5) I8 (Beast3) C6 (Mask9),F3 (Q6) T2 (Jelleye5) I8 (Buel1) C9 (Snake4) B7,(Snake9) F3 (Beast6) T2 (Q5) I8 (Mask7) C4 (Bird1)
54fec5ea,213,(Q4) C3 (Beast2) I5 (Unicorn8) T7 (Creeps6) B1 (Grat9),(Chimera7) F3 (Mask2) C6 (Q5) I8 (Glacial9) T4 (Grat1),(Q4) T1 (Grendel7) I8 (Bird9) B6 (Glacial3) F5 (Creeps2),B1 (Elnoyle4) F2 (Q5) T7 (King6) C3 (Buel9) I8,(Biggs9) F3 (Bird6) T2 (Q5) C1 (Grendel4) I7 (Mask8),C1 (Elnoyle2) B4 (Beast5) T7 (Q3) F9 (Glacial8) I6,(Elastoid9) C1 (Giant2) B4 (Grendel5) T7 (Q6) I8 (Malboro3),(Q7) F1 (Mask4) B2 (Creeps5) I8 (Glacial6) C3 (Malboro9),(Elnoyle9) C1 (King2) B4 (Q5) I6 (Jelleye7) F8 (Ruby3),F3 (Elnoyle6) T2 (Giant1) C5 (Mask4) I9 (Beast8) B7
c5fb5e63,214,(Biggs9) C2 (Q5) B8 (Snake4) F7 (Buel1) I6 (Mantis3),(Biggs9) C3 (Grendel2) I6 (Q8) T7 (Bird5) B4 (Chimera1),(Q3) T2 (Giant5) I8 (malboro4) C1 (Grat7) B9 (Mantis6),(Biggs9) C1 (Unicorn4) F2 (Q5) I6 (Beast7) B3 (Bird8),(Chimera1) B4 (Giant5) T7 (Q6) I2 (Mask9) C8 (Glacial3),(Q1) F2 (Creeps5) C3 (Malboro6) I9 (Unicorn8) T7 (Snake4),(Q4) F3 (Jelleye6) T2 (Mantis5) C1 (Beast9) I8 (Mask7),(Q1) F2 (Mask3) T5 (Beast6) B9 (Buel8) I7 (Snake4),(Bird7) F1 (Q2) T4 (Beast5) I8 (Giant6) C3 (Snake9),(Q7) F1 (Creeps4) B2 (Robot3) C5 (Grat6) I9 (Jelleye8)
ac789c48,215,(Elnoyle9) B4 (Q5) T7 (Robot6) F8 (Bird3) I2 (Giant1),T5 (Beast8) B1 (Malboro4) C2 (Giant3) F7 (Biggs6) I9,(elastoid9) B2 (Mantis3) I6 (Q5) T4 (Beast7) C1 (Snake8),F3 (Elastoid6) T2 (Q1) B5 (Beast4) C8 (Glacial7) I9,F1 (Grendel2) B4 (Malboro5) T7 (Q6) C3 (Chimera8) I9,C3 (Q6) T2 (Jelleye5) F8 (Beast7) B9 (King1) I4,F1 (Biggs2) B4 (Unicorn5) T7 (Q8) I9 (Giant3) C6,F2 (Robot5) T4 (Beast7) I8 (Q1) B3 (Grat9) C6,C1 (King2) B4 (Q5) T7 (Creeps6) F3 (Giant9) I8,(Biggs9) B1 (Chimera4) F2 (Creeps5) I7 (Q3) C6 (Unicorn8)
d8cccda9,216,(Q1) F2 (Mask3) B6 (Bird5) C9 (Creeps8) I7 (Glacial4),(Biggs9) B1 (Q4) F2 (Mantis5) C3 (Jelleye6) I8 (Grendel7),(Elastoid9) B3 (Robot2) T1 (Q4) F6 (Unicorn8) I5 (Buel7),C1 (King2) B4 (Q5) T7 (Mask9) F8 (Mantis6) I3,F1 (King2) B4 (Malboro5) T7 (Snake6) C3 (Robot9) I8,F1 (Snake2) B4 (Beast5) T7 (Grendel8) C3 (Q6) I9,C1 (Q4) F2 (Ruby5) B3 (Elastoid6) T7 (Malboro8) I9,F1 (Elnoyle4) B2 (Unicorn5) T7 (Grat6) C3 (Grendel8) I9,C1 (Q4) F2 (Jelleye5) T7 (Grat6) B3 (Malboro8) I9,F1 (King2) B4 (Mask5) T7 (Buel8) C9 (Ruby6) I3
d01b4556,217,C1 (Q4) F2 (Creeps5) B3 (Elastoid6) T7 (Unicorn8) I9,(Elnoyle9) C2 (Mask1) B4 (Robot5) I8 (Q3) T7 (Mantis6),C1 (Q4) F2 (Bird5) T7 (Chimera6) B3 (Glacial8) I9,B1 (Q4) C2 (Elnoyle5) T7 (King8) F3 (Ruby9) I6,F1 (Q4) B2 (Biggs5) T7 (Glacial6) C3 (Creeps9) I8,(Elnoyle9) F1 (King2) B4 (Jelleye5) T7 (Chimera6) C8 (Q3),F1 (Q4) B2 (Glacial5) T7 (Robot6) C3 (Snake9) I8,(Elnoyle9) B1 (Mantis2) F4 (Q5) I6 (King7) C3 (Elastoid8),(Biggs9) F1 (Buel4) B2 (Q5) I6 (Bird7) C3 (Elastoid8),F1 (Beast2) B4 (Q5) T7 (Mantis6) C3 (Grat9) I8
